;VarName;NAAllowed?;SpecificNeighborsReq?;RegExCheck;AllowedToAlreadyExist;NewValuesAllowed;SimilarityCheckBoundary;Type;HasToOccurAsPrimaryIDIN;ConstructedOnBasisOff;Type;CheckTheseSheetsForPrimaryIdOccurenceWhenReplaced;;;;;
ELDI;district_id;FALSE;;^((CH|NL|DE|IE|UK)_((NT|RE)|(NT|RE)-([A-Z]{2}))_((1|2)(0|8|9)([0-9]{2}))([a-z]{3}){0,1})__([a-z]|[A-Z]|-|){3,100}(\[(([0-9]{1,2}(-[0-9]{1,2}){0,1})(\|([0-9]{1,2}(-[0-9]{1,2}){0,1})){0,20})\]){0,1}$;TRUE;TRUE;1;text;;;prim;;;;;;
ELDI;parliament_id;TRUE;;^((NL|CH|DE|IE|UK|NO|CA)_((NT|RE)|(NT|RE)-([A-Z]{2}))_((1|2)(0|7|8|9)([0-9]{2}))([a-z]{3}){0,1})$;TRUE;TRUE;;text;PARL;;;;;;;;
ELDI;country_abb;FALSE;;^(?:CH|DE|NL|UK|IE|NO|CA|US)$;TRUE;TRUE;;text;;;;;;;;;
ELDI;region_abb;TRUE;;^([A-Z]{2,4}|[a-z]{4])$;TRUE;TRUE;;text;;;;;;;;;
ELDI;district_aliases;TRUE;;^[0-9]{1,2}|(NA)$;TRUE;TRUE;;text;;;;;;;;;
ELDI;constituency_name;TRUE;;^([a-z]|[A-Z]|-){3,100}$;TRUE;TRUE;;text;;;;;;;;;
ELDI;constituency_code_CLEA;TRUE;;^([0-9]{1,3})|(NA)|NOT_IN_CLEA-20220908$;TRUE;TRUE;;text;;;;;;;;;
ELDI;constituency_name_CLEA;TRUE;;^([A-Z]|[a-z]|\.|ü|â|è| |'|-){3,30}$|NOT_IN_CLEA-20220908;TRUE;TRUE;;text;;;;;;;;;
ELDI;dist_magnitude;TRUE;;^([0-9]{1,3}|-992|-994|NA)$;TRUE;TRUE;;text;;;;;;;;;
ELDI;district_votes_total;TRUE;;^[0-9]{1,9}$;TRUE;TRUE;;text;;;;;;;;;
ELEN;elec_entry_id;FALSE;"list_id;pers_id";"^((((CH|NL|DE|IE|UK)_((NT|RE)|(NT|RE)-([A-Z]{2}))_((1|2)(0|8|9)([0-9]{2}))([a-z]{3}){0,1})__([a-z]|[A-Z]|-|){3,100}(\[(([0-9]{1,2}(-[0-9]{1,2}){0,1})(\|([0-9]{1,2}(-[0-9]{1,2}){0,1})){0,20})\]){0,1}__(([0-9]{2}){0,1}(jan|feb|mar|apr|may|jun|jul|aug|sep|oct|nov|dec){0,1}((1|2)(0|7|8|9)([0-9]{2})))(\[\[(rcen|lcen)\]\]){0,1}|(NA|NC))__([a-z]|[A-Z]|[0-9]|-|\||\+|;){2,200})__((CH|DE|NL|IE|UK)_([A-Z]|[a-z]|-){2,60}_([A-Z]|[a-z]|-){1,60}_(([1-2][0,7-9][0-9][0-9]([a-z]{3}){0,1})(-[0-9]){0,1}|(9999)|NA))$";TRUE;TRUE;1;text;;;prim;;;;;;
ELEN;list_id;FALSE;;"^(((CH|NL|DE|IE|UK)_((NT|RE)|(NT|RE)-([A-Z]{2}))_((1|2)(0|8|9)([0-9]{2}))([a-z]{3}){0,1})__([a-z]|[A-Z]|-|){3,100}(\[(([0-9]{1,2}(-[0-9]{1,2}){0,1})(\|([0-9]{1,2}(-[0-9]{1,2}){0,1})){0,20})\]){0,1}__(([0-9]{2}){0,1}(jan|feb|mar|apr|may|jun|jul|aug|sep|oct|nov|dec){0,1}((1|2)(0|7|8|9)([0-9]{2})))(\[\[(rcen|lcen)\]\]){0,1}|(NA|NC))__([a-z]|[A-Z]|[0-9]|-|\||\+|;){2,200}$";TRUE;TRUE;;text;ELLI;;;;;;;;
ELEN;pers_id;FALSE;;^(CH|DE|NL|IE|UK|NO|CA|US)_([A-Z]|[a-z]|-){2,60}_([A-Z]|[a-z]|-){1,60}_(([1-2][0,7-9][0-9][0-9]([a-z]{3}){0,1})(-[0-9]){0,1}|(9999)|NA)$;TRUE;TRUE;;text;POLI;;;;;;;;
ELEN;elected_bundesblatt;TRUE;;^(0|1)|(NA)$;TRUE;TRUE;;text;;;;;;;;;
ELEN;candidature_type;TRUE;;^(L|D|LD)|(NA)$;TRUE;TRUE;;text;;;;;;;;;
ELEN;seat_type;TRUE;;^(1|2|3|11|12|13)|(NA)$;TRUE;TRUE;;text;;;;;;;;;
ELEN;candidate_votes;TRUE;;^[0-9]{1,5}|(NA)$;TRUE;TRUE;;text;;;;;;;;;
ELEN;district_id;TRUE;;^((CH|NL|DE|IE|UK)_((NT|RE)|(NT|RE)-([A-Z]{2}))_((1|2)(0|8|9)([0-9]{2}))([a-z]{3}){0,1})__([a-z]|[A-Z]|-|){3,100}(\[(([0-9]{1,2}(-[0-9]{1,2}){0,1})(\|([0-9]{1,2}(-[0-9]{1,2}){0,1})){0,20})\]){0,1}$;TRUE;TRUE;;text;ELDI;;;;;;;;
